rank,team,elo_rating,highest_rank,highest_elo,rank_change_1y,elo_change_1y,matches_total,wins_home,wins_away,draws_home,draws_away,losses_home,losses_away,goals_for,goals_against,wins_total,draws_total,losses_total,goal_diff,win_pct,date
1,Spain,2165,7,1946,0,15,780,340,302,138,461,138,181,1591,697,642,599,319,894,82.3,2026-06-02
2,Argentina,2113,5,1987,0,-28,1109,381,419,309,610,228,271,2112,1136,800,919,499,976,72.1,2026-06-02
3,France,2081,16,1795,0,51,938,473,341,124,474,269,195,1706,1272,814,598,464,434,86.8,2026-06-02
4,England,2020,4,1983,0,9,1160,509,524,127,683,215,262,2719,1118,1033,810,477,1601,89.1,2026-06-02
5,Brazil,1988,4,1998,0,-5,1066,373,346,347,671,172,223,2300,956,719,1018,395,1344,67.4,2026-06-02
6,Portugal,1984,19,1797,0,-4,694,320,262,112,346,189,159,1222,779,582,458,348,443,83.9,2026-06-02
7,Colombia,1977,48,1621,2,26,649,185,229,235,266,205,178,845,742,414,501,383,103,63.8,2026-06-02
8,Netherlands,1961,15,1848,0,-5,901,429,358,114,465,239,197,1892,1142,787,579,436,750,87.3,2026-06-02
9,Ecuador,1935,64,1525,4,25,599,183,211,205,184,254,161,721,904,394,389,415,-183,65.8,2026-06-02
10,Croatia,1930,12,1881,2,19,398,156,167,75,209,83,106,694,401,323,284,189,293,81.2,2026-06-02
11,Germany,1925,8,1911,-4,-62,1046,470,415,161,605,224,217,2356,1232,885,766,441,1124,84.6,2026-06-02
12,Norway,1917,38,1623,9,88,887,426,409,52,335,355,197,1376,1444,835,387,552,-68,94.1,2026-06-02
13,Turkey,1906,42,1611,5,69,670,291,300,79,264,250,156,951,969,591,343,406,-18,88.2,2026-06-02
13,Japan,1906,62,1467,1,30,836,332,207,297,409,257,170,1518,985,539,706,427,533,64.5,2026-06-02
15,Switzerland,1894,27,1690,9,82,896,426,392,78,320,373,203,1339,1483,818,398,576,-144,91.3,2026-06-02
16,Uruguay,1892,12,1876,-6,-29,1019,336,432,251,446,321,252,1610,1254,768,697,573,356,75.4,2026-06-02
17,Denmark,1870,20,1799,-2,8,903,413,396,94,419,298,186,1650,1220,809,513,484,430,89.6,2026-06-02
