team,squad_size,squad_market_value_total,avg_player_age,star_player_market_value,key_player_caps,top_scorer_goals,top_scorer_name,injury_flag,squad_depth_score,experience_score,avg_market_value,youth_ratio,veteran_ratio,star_concentration,goals_per_cap,gk_count,df_count,mf_count,fw_count,total_caps,total_goals
France,26,1315.0,26.6,370.0,25.5,56,Kylian Mbappé (captain),0,80,0.367,50.58,23.1,11.5,28.1,0.126,3,9,7,7,763,96
England,26,1313.2,26.6,370.0,25.7,78,Harry Kane (captain),0,80,0.384,50.51,30.8,19.2,28.2,0.181,3,9,7,7,799,145
Spain,26,1107.0,26.2,430.0,27.9,24,Mikel Oyarzabal,0,80,0.34,42.58,30.8,7.7,38.8,0.161,3,8,7,8,708,114
Portugal,26,993.5,27.5,360.0,38.7,143,Cristiano Ronaldo (captain),0,60,0.538,38.21,15.4,19.2,36.2,0.228,3,9,6,8,1119,255
Germany,26,857.0,27.5,260.0,19.0,21,Kai Havertz,0,40,0.398,32.96,23.1,15.4,30.3,0.123,3,8,11,4,827,102
Netherlands,26,799.2,27.3,210.0,27.6,55,Memphis Depay,0,100,0.398,30.74,11.5,19.2,26.3,0.182,3,8,8,7,828,151
Brazil,26,674.2,28.7,245.0,21.4,79,Neymar,0,40,0.432,25.93,11.5,38.5,36.3,0.167,3,9,5,9,899,150
Argentina,26,670.5,28.6,255.0,28.2,116,Lionel Messi (captain),0,100,0.588,25.79,11.5,26.9,38.0,0.178,3,8,8,7,1224,218
Norway,26,520.0,26.3,272.0,37.8,55,Erling Haaland,0,60,0.375,20.0,19.2,3.8,52.3,0.154,3,8,10,5,781,120
Belgium,26,518.9,27.1,155.0,14.5,90,Romelu Lukaku,0,80,0.512,19.96,30.8,26.9,29.9,0.196,3,9,8,6,1066,209
Ivory Coast,26,504.9,25.3,177.0,16.6,12,Nicolas Pépé,0,60,0.328,19.42,34.6,3.8,35.1,0.119,3,8,6,9,682,81
Senegal,26,470.9,26.6,135.0,29.6,55,Sadio Mané,0,80,0.464,18.11,34.6,26.9,28.7,0.136,3,8,7,8,965,131
Turkey,26,459.7,27.2,210.0,31.0,15,Kerem Aktürkoğlu,0,40,0.457,17.68,15.4,11.5,45.7,0.1,3,9,5,9,951,95
Morocco,26,406.5,25.9,125.0,23.9,37,Ayoub El Kaabi,0,60,0.373,15.63,30.8,11.5,30.8,0.133,3,9,9,5,775,103
Sweden,26,397.98,27.0,185.0,22.0,19,Viktor Gyökeres,0,40,0.239,15.31,15.4,7.7,46.5,0.127,3,11,7,5,498,63
United States,26,367.0,26.4,110.0,48.0,33,Christian Pulisic,0,60,0.452,14.12,19.2,3.8,30.0,0.132,3,10,6,7,941,124
Ecuador,26,361.4,25.6,230.0,29.5,49,Enner Valencia (captain),0,100,0.361,13.9,30.8,7.7,63.6,0.123,3,8,8,7,750,92
Uruguay,26,336.8,28.2,175.0,35.9,13,Darwin Núñez,0,40,0.449,12.95,0.0,15.4,52.0,0.079,3,7,11,5,933,74
Switzerland,26,323.1,27.8,122.0,37.8,24,Breel Embolo,0,100,0.534,12.43,19.2,23.1,37.8,0.111,3,8,8,7,1111,123
Colombia,26,262.25,29.6,117.0,38.5,22,Luis Díaz,0,80,0.49,10.09,7.7,30.8,44.6,0.104,3,9,8,6,1020,106
Algeria,26,240.25,26.5,113.0,27.9,38,Riyad Mahrez (captain),0,80,0.346,9.24,23.1,7.7,47.0,0.16,3,9,7,7,719,115
Ghana,26,230.38,26.4,117.0,18.2,34,Jordan Ayew (captain),0,60,0.27,8.86,26.9,11.5,50.8,0.119,3,9,6,8,561,67
Austria,25,221.7,28.2,79.0,28.2,47,Marko Arnautović,0,50,0.497,8.87,8.0,24.0,35.6,0.149,3,8,10,4,994,148
Japan,26,176.0,27.2,74.0,26.5,16,Ayase Ueda,0,40,0.411,6.77,15.4,15.4,42.0,0.127,3,9,10,4,855,109
Scotland,26,162.72,28.7,71.0,42.1,11,Ché Adams,0,60,0.458,6.26,11.5,15.4,43.6,0.099,3,10,6,7,952,94
Mexico,26,160.55,27.5,39.0,27.5,44,Raúl Jiménez,0,80,0.575,6.18,19.2,7.7,24.3,0.095,3,7,8,8,1195,114
Canada,25,144.15,26.6,72.0,31.5,39,Jonathan David,0,70,0.462,5.77,20.0,8.0,49.9,0.141,3,9,7,6,924,130
Paraguay,26,139.05,28.5,63.0,25.7,7,Antonio Sanabria,0,80,0.321,5.35,11.5,30.8,45.3,0.073,3,8,9,6,668,49
DR Congo,26,138.25,28.5,75.0,18.9,21,Cédric Bakambu,0,100,0.366,5.32,11.5,11.5,54.2,0.106,3,8,8,7,762,81
Croatia,26,138.2,27.9,82.0,21.6,38,Ivan Perišić,0,80,0.549,5.32,19.2,19.2,59.3,0.132,3,8,9,6,1142,151
Egypt,26,83.1,28.7,58.0,30.7,67,Mohamed Salah (captain),0,80,0.385,3.2,3.8,19.2,69.8,0.156,4,8,7,7,801,125
Australia,26,75.15,26.9,34.0,15.9,14,Mathew Leckie,0,40,0.343,2.89,30.8,23.1,45.2,0.102,3,10,5,8,713,73
Uzbekistan,26,71.53,28.0,59.0,46.3,44,Eldor Shomurodov (captain),0,20,0.427,2.75,19.2,23.1,82.5,0.142,3,10,10,3,889,126
