team,squad_size,avg_age,avg_caps,avg_goals,total_caps,total_goals,squad_market_value_eur,avg_market_value_eur,star_player_value_eur,gk_count,df_count,mf_count,fw_count,experience_score,youth_ratio,veteran_ratio
France,26,26.6,29.3,3.7,763,96,1315.0,50.58,370.0,3,9,7,7,19.6,23.1,11.5
England,26,26.6,30.7,5.6,799,145,1313.2,50.51,370.0,3,9,7,7,20.5,30.8,19.2
Spain,26,26.2,27.2,4.4,708,114,1107.0,42.58,430.0,3,8,7,8,18.2,30.8,7.7
Portugal,26,27.5,43.0,9.8,1119,255,993.5,38.21,360.0,3,9,6,8,26.7,15.4,19.2
Germany,26,27.5,31.8,3.9,827,102,857.0,32.96,260.0,3,8,11,4,21.2,23.1,15.4
Netherlands,26,27.3,31.8,5.8,828,151,799.2,30.74,210.0,3,8,8,7,21.2,11.5,19.2
Brazil,26,28.7,34.6,5.8,899,150,674.2,25.93,245.0,3,9,5,9,23.1,11.5,38.5
Argentina,26,28.6,47.1,8.4,1224,218,670.5,25.79,255.0,3,8,8,7,30.2,11.5,26.9
Norway,26,26.3,30.0,4.6,781,120,520.0,20.0,272.0,3,8,10,5,20.0,19.2,3.8
Belgium,26,27.1,41.0,8.0,1066,209,518.9,19.96,155.0,3,9,8,6,27.3,30.8,26.9
Ivory Coast,26,25.3,26.2,3.1,682,81,504.9,19.42,177.0,3,8,6,9,17.5,34.6,3.8
Senegal,26,26.6,37.1,5.0,965,131,470.9,18.11,135.0,3,8,7,8,24.7,34.6,26.9
Turkey,26,27.2,36.6,3.7,951,95,459.7,17.68,210.0,3,9,5,9,24.4,15.4,11.5
Morocco,26,25.9,29.8,4.0,775,103,406.5,15.63,125.0,3,9,9,5,19.9,30.8,11.5
Sweden,26,27.0,19.2,2.4,498,63,397.98,15.31,185.0,3,11,7,5,12.8,15.4,7.7
United States,26,26.4,36.2,4.8,941,124,367.0,14.12,110.0,3,10,6,7,24.1,19.2,3.8
Ecuador,26,25.6,28.8,3.5,750,92,361.4,13.9,230.0,3,8,8,7,19.2,30.8,7.7
Uruguay,26,28.2,35.9,2.8,933,74,336.8,12.95,175.0,3,7,11,5,23.9,0.0,15.4
Switzerland,26,27.8,42.7,4.7,1111,123,323.1,12.43,122.0,3,8,8,7,28.5,19.2,23.1
Colombia,26,29.6,39.2,4.1,1020,106,262.25,10.09,117.0,3,9,8,6,26.2,7.7,30.8
Algeria,26,26.5,27.7,4.4,719,115,240.25,9.24,113.0,3,9,7,7,18.4,23.1,7.7
Ghana,26,26.4,21.6,2.6,561,67,230.38,8.86,117.0,3,9,6,8,14.4,26.9,11.5
Austria,25,28.2,39.8,5.9,994,148,221.7,8.87,79.0,3,8,10,4,26.5,8.0,24.0
Japan,26,27.2,32.9,4.2,855,109,176.0,6.77,74.0,3,9,10,4,21.9,15.4,15.4
Scotland,26,28.7,36.6,3.6,952,94,162.72,6.26,71.0,3,10,6,7,24.4,11.5,15.4
Mexico,26,27.5,46.0,4.4,1195,114,160.55,6.18,39.0,3,7,8,8,30.6,19.2,7.7
Canada,25,26.6,37.0,5.2,924,130,144.15,5.77,72.0,3,9,7,6,24.6,20.0,8.0
Paraguay,26,28.5,25.7,1.9,668,49,139.05,5.35,63.0,3,8,9,6,17.1,11.5,30.8
DR Congo,26,28.5,29.3,3.1,762,81,138.25,5.32,75.0,3,8,8,7,19.5,11.5,11.5
Croatia,26,27.9,43.9,5.8,1142,151,138.2,5.32,82.0,3,8,9,6,28.0,19.2,19.2
Egypt,26,28.7,30.8,4.8,801,125,83.1,3.2,58.0,4,8,7,7,20.5,3.8,19.2
Australia,26,26.9,27.4,2.8,713,73,75.15,2.89,34.0,3,10,5,8,18.3,30.8,23.1
Uzbekistan,26,28.0,34.2,4.8,889,126,71.53,2.75,59.0,3,10,10,3,22.8,19.2,23.1
Czech Republic,26,27.2,27.0,3.7,702,95,60.48,2.33,36.0,3,9,7,7,18.0,23.1,15.4
Bosnia And Herzegovina,26,25.9,22.0,3.5,571,92,58.7,2.26,45.5,3,8,8,7,14.6,34.6,7.7
Haiti,26,27.1,23.4,4.4,608,114,55.45,2.13,37.0,3,8,6,9,15.6,11.5,15.4
Cape Verde,26,29.2,30.4,2.7,790,71,50.85,1.96,33.0,3,8,12,3,20.3,7.7,30.8
Tunisia,26,26.2,21.8,1.7,566,43,49.65,1.91,18.0,3,10,8,5,14.5,30.8,7.7
South Africa,26,26.3,17.8,2.3,464,61,43.3,1.67,14.5,3,10,5,8,11.9,30.8,11.5
Saudi Arabia,26,28.0,33.0,3.5,858,90,33.75,1.3,17.5,3,10,6,7,22.0,7.7,19.2
New Zealand,26,27.6,31.6,4.2,822,109,29.55,1.14,10.0,3,9,10,4,21.1,23.1,23.1
Iran,26,29.8,44.2,5.7,1149,148,25.6,0.98,9.5,3,9,8,6,29.5,7.7,42.3
Curaçao,26,27.5,22.9,2.7,596,69,25.57,0.98,11.0,3,8,7,8,15.3,15.4,23.1
Panama,26,30.0,57.8,4.7,1504,123,23.75,0.91,11.5,3,11,8,4,38.3,0.0,34.6
Iraq,26,26.7,30.7,3.4,797,88,19.82,0.76,7.0,3,9,7,7,20.4,23.1,11.5
Qatar,26,28.9,53.7,8.0,1397,208,15.57,0.6,11.2,3,9,5,9,34.9,15.4,34.6
South Korea,26,27.5,36.0,5.5,937,142,10.0,0.38,10.0,3,9,11,3,24.0,15.4,15.4
Jordan,26,28.1,40.3,3.6,1048,93,7.38,0.28,2.4,3,9,7,7,26.9,19.2,30.8
