team,snapshot_date,elo_rating,matches_played_total,matches_played_competitive,wins_last_5,wins_last_10,draws_last_5,draws_last_10,losses_last_5,losses_last_10,goals_scored_avg_5,goals_scored_avg_10,goals_conceded_avg_5,goals_conceded_avg_10,clean_sheets_last_10,win_pct_last_5,win_pct_last_10,form_score,goal_diff_avg_10
Spain,2026-06-11,2165,781,424,3,7,2,3,0,0,2.6,3.1,0.4,0.8,7,60.0,70.0,2.14,2.3
Argentina,2026-06-11,2113,1066,477,5,8,0,1,0,1,3.2,2.5,0.2,0.4,6,100.0,80.0,3.0,2.1
France,2026-06-11,2081,933,405,4,8,1,1,0,1,2.8,2.7,1.0,1.1,4,80.0,80.0,2.71,1.6
England,2026-06-11,2020,1088,380,3,7,1,1,1,2,2.0,2.2,0.4,0.5,7,60.0,70.0,1.57,1.7
Brazil,2026-06-11,1988,1058,501,3,6,1,1,1,3,2.6,2.4,1.2,1.0,4,60.0,60.0,2.29,1.4
Portugal,2026-06-11,1984,693,392,2,6,2,3,1,1,2.6,2.6,1.0,1.0,4,40.0,60.0,1.71,1.6
Colombia,2026-06-11,1977,636,360,2,5,1,3,2,2,1.4,2.1,1.2,1.0,5,40.0,50.0,1.0,1.1
Netherlands,2026-06-11,1961,877,397,3,7,2,3,0,0,2.4,3.0,0.6,0.6,5,60.0,70.0,2.14,2.4
Ecuador,2026-06-11,1935,590,326,2,3,3,7,0,0,1.2,0.9,0.6,0.5,5,40.0,30.0,1.86,0.4
Croatia,2026-06-11,1930,394,239,4,8,0,1,1,1,2.4,2.9,1.4,0.8,5,80.0,80.0,2.14,2.1
Germany,2026-06-11,1925,1030,425,5,8,0,0,0,2,3.6,2.6,0.8,0.9,5,100.0,80.0,3.0,1.7
Norway,2026-06-11,1917,870,312,2,7,2,2,1,1,2.0,3.1,1.0,0.6,5,40.0,70.0,1.29,2.5
Japan,2026-06-11,1906,790,304,5,7,0,2,0,1,1.6,1.9,0.0,0.6,7,100.0,70.0,3.0,1.3
Turkey,2026-06-11,1906,640,337,4,7,1,1,0,2,2.0,2.1,0.6,1.4,3,80.0,70.0,2.71,0.7
Switzerland,2026-06-11,1894,883,344,2,6,2,3,1,1,2.4,2.5,1.4,0.7,6,40.0,60.0,1.71,1.8
Uruguay,2026-06-11,1892,970,471,1,4,3,4,1,2,0.8,1.0,1.4,0.9,6,20.0,40.0,1.14,0.1
Denmark,2026-06-11,1870,872,360,2,6,2,3,1,1,2.6,2.9,1.8,1.0,5,40.0,60.0,1.71,1.9
Mexico,2026-06-11,1867,1002,463,3,5,2,4,0,1,1.6,1.2,0.2,0.4,7,60.0,50.0,2.43,0.8
Senegal,2026-06-11,1867,637,303,3,7,0,1,2,2,1.6,1.9,1.4,0.9,5,60.0,70.0,1.71,1.0
Belgium,2026-06-11,1866,851,374,3,6,2,4,0,0,3.6,3.5,1.2,1.0,4,60.0,60.0,2.14,2.5
Italy,2026-06-11,1856,891,422,3,7,1,1,1,2,1.8,2.4,1.0,1.3,5,60.0,70.0,2.0,1.1
Paraguay,2026-06-11,1832,782,399,2,4,0,2,3,4,1.0,1.0,1.4,1.0,4,40.0,40.0,1.29,0.0
Austria,2026-06-11,1830,859,327,3,8,1,1,1,1,1.8,2.8,0.6,0.5,5,60.0,80.0,2.29,2.3
Morocco,2026-06-11,1822,615,345,3,7,2,3,0,0,2.2,2.0,0.4,0.3,7,60.0,70.0,2.43,1.7
Canada,2026-06-11,1793,467,237,1,4,4,5,0,1,0.8,1.1,0.4,0.4,7,20.0,40.0,1.29,0.7
Ukraine,2026-06-11,1785,337,202,3,6,0,1,2,3,1.2,1.6,1.4,1.5,3,60.0,60.0,2.14,0.1
Australia,2026-06-11,1774,580,276,2,6,0,0,3,4,1.2,1.4,1.2,1.0,3,40.0,60.0,1.29,0.4
Scotland,2026-06-11,1770,850,325,2,6,0,1,3,3,2.0,2.1,1.6,1.0,3,40.0,60.0,1.29,1.1
Nigeria,2026-06-11,1769,658,367,2,7,3,3,0,0,1.2,2.0,0.6,0.7,5,40.0,70.0,1.86,1.3
