rank,team,points,rank_change,date
1,Spain,2165,0,2026-06-02
2,Argentina,2113,0,2026-06-02
3,France,2081,0,2026-06-02
4,England,2020,0,2026-06-02
5,Brazil,1988,0,2026-06-02
6,Portugal,1984,0,2026-06-02
7,Colombia,1977,2,2026-06-02
8,Netherlands,1961,0,2026-06-02
9,Ecuador,1935,4,2026-06-02
10,Croatia,1930,2,2026-06-02
11,Germany,1925,-4,2026-06-02
12,Norway,1917,9,2026-06-02
13,Turkey,1906,5,2026-06-02
13,Japan,1906,1,2026-06-02
15,Switzerland,1894,9,2026-06-02
16,Uruguay,1892,-6,2026-06-02
17,Denmark,1870,-2,2026-06-02
18,Mexico,1867,5,2026-06-02
18,Senegal,1867,12,2026-06-02
20,Belgium,1866,-4,2026-06-02
21,Italy,1856,-10,2026-06-02
22,Paraguay,1832,5,2026-06-02
23,Austria,1830,-5,2026-06-02
24,Morocco,1822,2,2026-06-02
25,Canada,1793,4,2026-06-02
26,Ukraine,1785,-1,2026-06-02
27,Australia,1774,9,2026-06-02
28,Scotland,1770,6,2026-06-02
29,Nigeria,1769,37,2026-06-02
30,Russia,1766,-2,2026-06-02
31,Iran,1764,-11,2026-06-02
32,South Korea,1756,0,2026-06-02
33,Greece,1752,-12,2026-06-02
34,Algeria,1743,11,2026-06-02
35,Serbia,1742,-19,2026-06-02
36,Czech Republic,1733,-5,2026-06-02
36,United States,1733,5,2026-06-02
36,Panama,1733,4,2026-06-02
39,Venezuela,1727,-5,2026-06-02
40,Uzbekistan,1718,7,2026-06-02
41,Sweden,1714,-5,2026-06-02
41,Kosovo,1714,18,2026-06-02
43,Poland,1711,3,2026-06-02
44,Chile,1710,-3,2026-06-02
45,Hungary,1703,-1,2026-06-02
46,Egypt,1699,4,2026-06-02
47,Wales,1698,-11,2026-06-02
48,Peru,1695,-9,2026-06-02
49,Slovenia,1694,-16,2026-06-02
49,Ireland,1694,4,2026-06-02
51,Jordan,1685,4,2026-06-02
52,Ivory Coast,1676,11,2026-06-02
53,Slovakia,1674,-4,2026-06-02
54,DR Congo,1655,14,2026-06-02
55,Georgia,1653,-12,2026-06-02
56,Albania,1646,-2,2026-06-02
57,Bolivia,1645,-5,2026-06-02
58,Israel,1634,3,2026-06-02
59,Tunisia,1633,-3,2026-06-02
60,Romania,1627,-12,2026-06-02
61,Cameroon,1613,3,2026-06-02
62,Costa Rica,1611,-11,2026-06-02
63,Iraq,1608,12,2026-06-02
64,Northern Ireland,1601,6,2026-06-02
65,Mali,1596,-7,2026-06-02
66,Bosnia and Herzegovina,1591,13,2026-06-02
67,North Macedonia,1589,-10,2026-06-02
68,New Zealand,1585,-6,2026-06-02
69,Cabo Verde,1576,11,2026-06-02
